ImageID,NucleiID,Number_foci_method1,Number_foci_method2,Number_foci_method3,Intensity
47,3,0,0,0,13.00392173
47,4,5,1,27,764.2000145
47,5,1,0,6,732.7568729
47,6,41,19,127,1161.796095
47,7,1,1,1,5.494117547
47,8,2,0,21,447.6392214
47,9,8,6,18,576.6627584
47,10,8,3,32,694.6549143
47,11,0,0,2,521.7764614
47,12,2,0,9,247.9568672
47,13,4,0,24,475.4000102
48,1,0,0,0,3.658823514
48,2,7,2,31,680.1882517
48,3,11,11,21,665.0902053
48,4,0,0,0,3.698039301
48,5,3,2,6,541.9568711
48,6,3,1,11,527.3647152
48,7,7,0,28,578.615693
48,8,0,0,0,5.450980578
48,9,1,0,33,618.541177
48,10,9,1,52,869.768644
48,11,0,0,1,3.886274517
48,12,1,0,12,844.2588176
49,1,0,0,7,539.5176526
49,2,0,0,4,455.7686242
49,3,39,3,178,737.0117754
49,4,20,0,89,660.2431432
49,5,1,1,5,515.5176499
49,6,21,0,98,591.66667
49,7,11,1,76,717.3764819
50,1,7,5,32,700.0117856
50,2,14,9,18,570.5176641
50,3,0,0,0,105.3451023
50,4,0,0,0,64.5803941
50,5,2,1,13,547.9647284
50,6,3,0,27,633.3647195
50,7,9,1,64,857.2666798
50,8,0,0,7,636.0705907
50,9,16,13,22,515.8431531
50,10,27,4,128,803.1686452
51,1,3,0,24,433.3451094
51,2,3,0,10,290.0196125
51,3,8,1,32,503.3294238
51,4,0,0,3,382.0666754
51,5,0,0,6,433.7058917
51,6,80,6,221,857.8549079
51,7,0,0,10,711.098048
51,8,0,0,0,3.38431355
51,9,1,0,10,438.2666749
51,10,8,0,65,534.9999962
51,11,2,0,4,438.1294199
51,12,0,0,2,425.0509718
52,1,19,0,77,695.3764732
52,2,0,0,3,835.6784267
52,3,26,1,111,958.1294177
52,4,0,0,7,847.9843119
52,5,0,0,4,721.6078393
52,6,0,0,0,11.81176461
52,7,3,2,4,473.4352854
53,1,1,0,5,357.9882362
53,2,3,1,13,285.8549041
53,3,3,0,25,325.9176512
53,4,5,2,40,474.980398
53,5,15,0,92,698.3882415
53,6,0,0,14,459.6902091
53,7,2,0,16,625.254919
53,8,5,0,47,620.2588352
53,9,2,0,32,603.7411905
53,10,2,0,16,274.7294172
53,11,1,0,17,239.93726
53,12,0,0,5,434.631367
53,13,11,2,33,508.8784436
53,14,1,0,5,365.1529429
53,15,0,0,20,436.1372661
54,1,0,0,1,359.5803951
54,2,0,0,0,355.3254943
54,3,3,0,26,715.6509966
54,4,43,14,133,1094.615699
55,1,0,0,3,581.2862949
55,2,3,1,8,454.0588368
55,3,9,1,41,371.6901973
55,4,4,1,47,714.9451103
55,5,12,0,103,1204.000031
55,6,0,0,0,5.207843389
55,7,0,0,6,276.0941283
55,8,0,0,6,342.1764843
55,9,6,2,25,564.4706095
55,10,0,0,11,571.8902139
55,11,0,0,10,572.57256
55,12,1,0,12,644.2823531
55,13,1,0,44,415.7490276
55,14,1,0,39,492.2000112
56,1,8,1,73,888.9804042
56,2,11,2,71,1193.360771
56,3,5,2,28,759.5490209
56,4,0,0,0,29.73725583
56,5,0,0,19,709.8823554
56,6,4,0,39,951.5176592
56,7,1,0,38,787.4509792
56,8,10,0,64,965.61177
56,9,2,0,33,720.6392247
56,10,0,0,14,591.9098138
57,1,18,4,83,556.0862829
57,2,9,1,75,511.3098113
57,3,5,2,23,923.0235522
57,4,1,1,1,32.69803987
57,5,93,6,256,713.5490275
57,6,0,0,4,420.4274475
57,7,0,0,3,441.7333301
57,8,0,0,6,163.160782
57,9,0,0,6,240.2470565
58,1,3,0,20,405.3882463
58,2,5,0,32,466.2431508
58,3,2,1,6,347.5098181
58,4,0,0,0,147.5647121
58,5,2,0,27,710.815707
58,6,11,1,86,457.9960853
58,7,15,0,79,437.1411832
58,8,6,0,33,568.7686474
58,9,2,0,22,593.086292
58,10,1,0,5,238.6039165
59,1,0,0,1,240.2784288
59,2,0,0,0,243.3451063
59,3,1,1,4,441.7804046
59,4,25,0,129,906.105898
59,5,58,6,188,1043.223557
59,6,0,0,0,5.047059048
59,7,3,0,38,449.9490323
59,8,19,0,79,656.247077
59,9,0,0,9,236.258829
59,10,0,0,0,8.749019492
59,11,42,5,265,1368.874532
59,12,0,0,11,433.5568786
59,13,15,0,71,656.2666829
59,14,0,0,11,403.8745189
60,1,0,0,5,516.3529472
60,2,6,0,36,782.5255088
60,3,10,0,60,965.8039418
60,4,5,2,12,541.2706004
60,5,4,0,33,678.4196317
60,6,0,0,0,55.58039413
60,7,4,1,32,715.8431583
60,8,2,0,19,760.011782
60,9,1,1,4,252.4823471
60,10,0,0,5,189.63529
60,11,9,3,35,491.0627512
61,1,8,2,24,574.1764842
61,2,6,1,41,658.3960996
61,3,32,3,171,1093.26275
61,4,24,6,90,541.3098092
61,5,20,3,101,525.2745169
61,6,0,0,0,6.184313593
61,7,46,7,196,1031.364709
61,8,0,0,5,10.27058852
61,9,3,0,11,324.7372586
61,10,2,0,2,4.631372616
61,11,1,0,11,271.7843143
61,12,51,8,183,888.2941295
61,13,0,0,1,3.964705879
62,1,3,1,9,782.4078739
62,2,0,0,2,152.5137311
62,3,1,0,1,186.7490256
62,4,12,1,73,688.0353094
62,5,2,1,8,546.3490363
62,6,8,0,57,754.2706094
62,7,5,0,49,758.360808
62,8,3,0,42,654.219623
62,9,2,0,23,719.6705988
62,10,1,1,7,463.9764828
62,11,3,0,11,747.7215871
63,1,0,0,0,3.317646936
63,2,0,0,2,714.8705882
63,3,0,0,2,1147.600007
63,4,0,0,6,543.3372537
